project_name,gini_all,gini_active
slidev,0.9877,0.9306
slim,0.958,0.7838
slint,0.9783,0.9261
smolagents,0.9539,0.7623
socket.io,0.9708,0.9021
solid,0.9848,0.9248
solidity,0.982,0.843
sops,0.9517,0.7775
source-code-hunter,0.938,0.6071
spacedrive,0.9128,0.791
spacemacs,0.9982,0.7756
spdlog,0.9939,0.8408
spleeter,0.8723,0.6968
spotube,0.9798,0.9173
spring-cloud-alibaba,0.9076,0.7903
spring-framework,0.9873,0.8126
spring-projects_spring-boot,0.992,0.9605
sqlitebrowser,0.9622,0.7006
sqlmap,0.9908,0.9379
srs,0.9814,0.9168
sst,0.9758,0.8734
stanford-oval_storm,0.9231,0.5
starship,0.9693,0.8996
stats,0.9918,0.7759
statsd,0.9573,0.6543
stb,0.9931,0.5
storybookjs_storybook,0.9818,0.9416
strapi_strapi,0.9627,0.9161
streamlit,0.9491,0.7775
styled-components,0.9464,0.8414
subquery_subql,0.9076,0.884
supabase_supabase,0.9725,0.8865
supervision,0.9505,0.8476
surrealdb,0.9438,0.823
surya,0.8858,0.6803
svelte,0.9797,0.8998
svgo,0.9621,0.8241
swagger-ui,0.9805,0.9126
sway,0.8481,0.7178
swc-project_swc,0.9819,0.9558
sweetalert2,0.9777,0.8801
swiftlang_swift,0.9631,0.8245
swiper,0.9909,0.9145
swoole-src,0.9689,0.8504
swr,0.9532,0.8089
syncthing,0.987,0.911
tabby,0.9529,0.8979
table,0.9759,0.8846
tabler-icons,0.9734,0.8864
tabler,0.9742,0.9216
taichi,0.9434,0.7783
tailscale,0.9266,0.7103
tailwindcss,0.9815,0.8857
taipy,0.8928,0.7941
tauri,0.9694,0.9098
tdesktop,0.9878,0.9057
teable,0.8734,0.8049
teambit_bit,0.9355,0.854
telescope.nvim,0.9885,0.5657
tensorflow,0.9574,0.6897
terminal,0.9547,0.8016
termux-app,0.9407,0.824
terraform,0.9726,0.7694
tesseract.js,0.9501,0.7701
tesseract,0.9812,0.8192
testify,0.953,0.5451
text-generation-webui,0.9683,0.8406
textual,0.9831,0.8745
the-swift-programming-language-in-chinese,0.9839,0.8063
theia,0.9259,0.785
timescaledb,0.9147,0.7683
timqian_chinese-independent-blogs,0.999,0.8709
tinygrad,0.9742,0.8587
tiptap,0.9879,0.8998
tldraw_tldraw,0.954,0.8881
tmux,0.9764,0.4221
toeverything_AFFiNE,0.9321,0.8598
tokio,0.956,0.7925
toml,0.9573,0.5399
tornado,0.9922,0.8945
traefik,0.9444,0.8262
transformers,0.9696,0.7256
tree-sitter_tree-sitter,0.9753,0.8756
trivy,0.9455,0.7969
trix,0.9425,0.7533
trpc,0.9857,0.92
trufflehog,0.9184,0.6541
twenty,0.9588,0.7926
typeorm,0.979,0.8263
typescript-go,0.9425,0.7455
typesense,0.9344,0.6722
typst,0.9594,0.8137
uWebSockets,0.9649,0.6
ui,0.9256,0.7396
uikit,0.9644,0.8724
ultralytics,0.9747,0.8685
umami-software_umami,0.913,0.8563
ungoogled-chromium,0.9542,0.8028
uni-app,0.9027,0.8217
unilm,0.8536,0.5049
unionlabs_union,0.7774,0.5941
unleashed-firmware,0.9654,0.7599
unocss,0.9792,0.9026
unsloth,0.978,0.8437
uppy,0.9827,0.8691
upscayl,0.9042,0.8626
uptime-kuma,0.8243,0.727
uv,0.9746,0.8964
v2ray-core,0.9673,0.8347
v2rayNG,0.8166,0.7356
v2rayN,0.9532,0.6958
v86,0.9637,0.743
v8,0.9634,0.6579
v,0.9854,0.8535
vagrant,0.9823,0.8633
validator.js,0.9902,0.8526
validator,0.9906,0.7176
valkey,0.9457,0.748
vanna,0.9439,0.8409
vant-weapp,0.9631,0.8266
vant,0.9922,0.93
vapor,0.9804,0.821
vault,0.9588,0.7289
vaultwarden,0.9595,0.8593
vectordotdev_vector,0.9615,0.9064
vercel_next.js,0.9609,0.873
vercel_turborepo,0.9598,0.8632
video.js,0.9427,0.8311
vim-airline,0.9907,0.5143
vim,0.9879,0.7722
vimium,0.9746,0.7839
viper,0.9801,0.811
vite,0.974,0.8743
vitess,0.9283,0.8266
vllm,0.9489,0.6752
vnpy,0.9666,0.8785
voice-changer,0.8936,0.7446
void,0.9355,0.842
vscodium,0.9763,0.8901
vue-admin-better,0.8944,0.8189
vue-pure-admin,0.9749,0.9022
vue-vben-admin,0.9528,0.8299
vue2-elm,0.9333,0.4667
vuetify,0.9807,0.9161
vueuse,0.9909,0.9075
vulhub,0.9684,0.9441
wagtail,0.9804,0.8421
wails,0.9863,0.8848
wasmer,0.9288,0.8283
web-check,0.9569,0.8092
webpack,0.9762,0.9124
webtorrent,0.9771,0.8849
wechat-app-mall,0.9532,0.8363
wechaty,0.9744,0.9418
wekan_wekan,0.965,0.9308
weui,0.8943,0.7399
wezterm,0.9885,0.9355
wg-easy,0.9132,0.8385
whisper.cpp,0.9811,0.7018
whisper,0.9575,0.5804
wiki,0.9624,0.8889
windows95,0.9278,0.6932
windows,0.9185,0.8437
winget-cli,0.916,0.7411
winutil,0.8511,0.7743
withastro_astro,0.9869,0.9454
ws,0.9782,0.8358
x64dbg,0.9774,0.7209
xbmc,0.9473,0.8364
xgboost,0.9815,0.8104
xstate,0.9871,0.9178
xterm.js,0.9788,0.9069
xxl-job,0.9681,0.8843
xyflow,0.9754,0.9045
yabai,0.75,0.0
yazi,0.8863,0.8063
yew,0.9541,0.8017
yfinance,0.9797,0.8297
yjs,0.9906,0.8763
yoga,0.946,0.6852
yolov5,0.9881,0.8753
you-get,0.9927,0.7662
youtube-dl,0.9936,0.6944
youtube-music,0.8635,0.835
yt-dlp,0.993,0.7488
yup,0.9839,0.8597
zap,0.937,0.5764
zed-industries_zed,0.9587,0.8969
zellij-org_zellij,0.9388,0.8096
zig,0.9946,0.8231
zod,0.9924,0.9164
zoxide,0.9635,0.832
zstd,0.9816,0.8312
zulip_zulip,0.9564,0.8575
zustand,0.972,0.8164
zx,0.9562,0.8572
zxing,0.9658,0.8863
