project_name,total_commits,top_contributor_commits,dominance,num_contributors
tabler-icons,482,407,0.8444,81
tabler,1387,1170,0.8435,143
taichi,756,233,0.3082,235
tailscale,498,67,0.1345,284
tailwindcss,1363,478,0.3507,309
taipy,1751,418,0.2387,73
tauri,2931,936,0.3193,469
tdesktop,1758,1002,0.57,216
teable,523,206,0.3939,37
teambit_bit,4501,1626,0.3613,77
telescope.nvim,45,20,0.4444,415
tensorflow,3294,358,0.1087,4003
terminal,713,226,0.317,434
termux-app,367,142,0.3869,86
terraform,2023,236,0.1167,2054
tesseract.js,281,137,0.4875,83
tesseract,642,312,0.486,221
testify,109,20,0.1835,300
text-generation-webui,530,425,0.8019,367
textual,1197,736,0.6149,171
the-swift-programming-language-in-chinese,382,171,0.4476,349
theia,1685,296,0.1757,354
timescaledb,737,292,0.3962,106
timqian_chinese-independent-blogs,860,790,0.9186,1315
tinygrad,978,395,0.4039,411
tiptap,2475,1057,0.4271,413
tldraw_tldraw,1621,756,0.4664,202
tmux,77,71,0.9221,49
toeverything_AFFiNE,3794,1054,0.2778,192
tokio,1210,310,0.2562,897
toml,56,17,0.3036,183
tornado,498,445,0.8936,447
traefik,2056,420,0.2043,907
transformers,1803,281,0.1559,3129
tree-sitter_tree-sitter,1070,468,0.4374,332
trivy,901,242,0.2686,466
trix,201,84,0.4179,73
trpc,1905,1019,0.5349,465
trufflehog,206,47,0.2282,161
twenty,1042,328,0.3148,463
typeorm,1013,558,0.5508,1144
typescript-go,128,75,0.5859,62
typesense,273,118,0.4322,50
typst,579,380,0.6563,353
uWebSockets,38,25,0.6579,57
ui,338,194,0.574,287
uikit,1386,1209,0.8723,43
ultralytics,924,578,0.6255,281
umami-software_umami,2065,1403,0.6794,350
ungoogled-chromium,306,202,0.6601,99
uni-app,2223,1149,0.5169,44
unilm,63,13,0.2063,71
unionlabs_union,4692,1160,0.2472,31
unleashed-firmware,581,213,0.3666,396
unocss,1187,913,0.7692,370
unsloth,182,173,0.9505,64
uppy,2492,661,0.2652,454
upscayl,455,281,0.6176,43
uptime-kuma,2146,915,0.4264,755
uv,1855,676,0.3644,387
v2ray-core,575,273,0.4748,167
v2rayNG,544,256,0.4706,62
v2rayN,75,47,0.6267,104
v86,137,90,0.6569,99
v8,853,218,0.2556,916
v,1128,494,0.4379,825
vagrant,1816,703,0.3871,1247
validator.js,379,285,0.752,556
validator,54,42,0.7778,241
valkey,983,307,0.3123,859
vanna,326,258,0.7914,88
vant-weapp,704,243,0.3452,183
vant,2626,1971,0.7506,361
vapor,431,230,0.5336,265
vault,2025,393,0.1941,1466
vaultwarden,842,449,0.5333,167
vectordotdev_vector,6204,2494,0.402,545
vercel_next.js,11932,2097,0.1757,3753
vercel_turborepo,3726,406,0.109,569
video.js,1385,416,0.3004,525
vim-airline,40,17,0.425,365
vim,345,150,0.4348,601
vimium,342,119,0.348,187
viper,223,99,0.4439,190
vite,2510,634,0.2526,1106
vitess,4351,403,0.0926,462
vllm,797,78,0.0979,1106
vnpy,630,413,0.6556,142
voice-changer,516,304,0.5891,24
void,523,372,0.7113,49
vscodium,811,547,0.6745,130
vue-admin-better,389,363,0.9332,12
vue-pure-admin,671,606,0.9031,74
vue-vben-admin,451,247,0.5477,108
vue2-elm,30,29,0.9667,16
vuetify,3847,1672,0.4346,1056
vueuse,1100,913,0.83,753
vulhub,1681,1587,0.9441,78
wagtail,1280,337,0.2633,896
wails,644,457,0.7096,302
wasmer,5507,750,0.1362,229
web-check,149,140,0.9396,31
webpack,4248,2738,0.6445,879
webtorrent,1779,852,0.4789,191
wechat-app-mall,226,213,0.9425,28
wechaty,4233,3678,0.8689,59
wekan_wekan,4821,3868,0.8023,316
weui,173,92,0.5318,32
wezterm,1588,1444,0.9093,405
wg-easy,758,281,0.3707,80
whisper.cpp,159,68,0.4277,568
whisper,28,16,0.5714,79
wiki,752,665,0.8843,213
windows95,88,82,0.9318,17
windows,201,169,0.8408,23
winget-cli,445,90,0.2022,114
winutil,373,163,0.437,97
withastro_astro,4766,3601,0.7556,806
ws,557,235,0.4219,203
x64dbg,63,47,0.746,148
xbmc,7532,635,0.0843,991
xgboost,804,160,0.199,647
xstate,1639,1018,0.6211,369
xterm.js,2117,1417,0.6693,338
xxl-job,535,310,0.5794,98
xyflow,2189,1211,0.5532,124
yabai,7,7,1.0,4
yazi,513,381,0.7427,138
yew,913,181,0.1982,432
yfinance,218,165,0.7569,134
yjs,637,629,0.9874,119
yoga,321,64,0.1994,303
yolov5,522,386,0.7395,345
you-get,85,71,0.8353,255
youtube-dl,234,76,0.3248,961
youtube-music,2779,875,0.3149,423
yt-dlp,550,123,0.2236,1546
yup,305,208,0.682,166
zap,88,24,0.2727,148
zed-industries_zed,8206,948,0.1155,1237
zellij-org_zellij,725,200,0.2759,168
zig,334,237,0.7096,1146
zod,740,671,0.9068,397
zoxide,189,140,0.7407,92
zstd,694,378,0.5447,386
zulip_zulip,6551,1094,0.167,1115
zustand,441,146,0.3311,302
zx,426,227,0.5329,62
zxing,1321,426,0.3225,173
