project,ecosystem
searxng_searxng,0
RevokeMsgPatcher,1
keycloak_keycloak,0
n,0
ShareX,3
Flowise,0
generative-models,1
llamafile,3
solidity,1
koreader,1
youtube-dl,1
LazyVim,1
anything-llm,1
netty,1
detectron2,1
NativeScript_NativeScript,0
hiddify-app,2
Catch2,1
cloc,1
julia,1
glow,1
wails,0
langflow-ai_langflow,1
fx,1
openui,0
insightface,1
screenshot-to-code,1
gpt-researcher,1
qlib,1
oh-my-posh,1
ant-design,0
folly,1
zod,0
compose-multiplatform,2
yup,0
slate,0
ExplorerPatcher,3
XX-Net,1
Dapper,1
playwright,2
kotaemon,1
sequelize,0
ai-hedge-fund,0
OCRmyPDF,1
imgui,3
bettercap,1
serve,1
unsloth,1
valkey,1
typeorm,0
dub,0
wiki,1
airbnb_lottie-ios,0
composer,3
ruff,1
traefik,0
ml-agents,1
WordPress,0
toeverything_AFFiNE,0
libuv,1
cmder,3
protobuf,1
reveal.js,0
handsontable_handsontable,0
BerriAI_litellm,1
OpenBB-finance_OpenBB,1
tabler-icons,0
dokku,1
openwrt,0
swiper,0
spring-framework,2
tokio,1
ente-io_ente,2
remotion-dev_remotion,0
WxJava,1
SDWebImage,1
