File Path,Option,Concept,Values,Changed internally,Removed
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.boot:spring-boot-starter-parent:1.3.1.RELEASE.type,maven,['pom'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.boot:spring-boot-starter-parent:1.3.1.RELEASE.version,maven,['1.3.1.RELEASE'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.boot:spring-boot-starter-parent:1.3.3.RELEASE.artifactId,maven,['spring-boot-starter-parent'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.boot:spring-boot-starter-parent:1.3.3.RELEASE.groupId,maven,['org.springframework.boot'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.boot:spring-boot-starter-parent:1.3.3.RELEASE.scope,maven,['import'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.boot:spring-boot-starter-parent:1.3.3.RELEASE.type,maven,['pom'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.boot:spring-boot-starter-parent:1.3.3.RELEASE.version,maven,['1.3.3.RELEASE'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-dependencies:${spring-cloud.version}.artifactId,maven,['spring-cloud-dependencies'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-dependencies:${spring-cloud.version}.groupId,maven,['org.springframework.cloud'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-dependencies:${spring-cloud.version}.scope,maven,['import'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-dependencies:${spring-cloud.version}.type,maven,['pom'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-dependencies:${spring-cloud.version}.version,maven,['${spring-cloud.version}'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.M3.artifactId,maven,['spring-cloud-starter-parent'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.M3.groupId,maven,['org.springframework.cloud'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.M3.scope,maven,['import'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.M3.type,maven,['pom'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.M3.version,maven,['Brixton.M3'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.M4.artifactId,maven,['spring-cloud-starter-parent'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.M4.groupId,maven,['org.springframework.cloud'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.M4.scope,maven,['import'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.M4.type,maven,['pom'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.M4.version,maven,['Brixton.M4'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.RELEASE.artifactId,maven,['spring-cloud-starter-parent'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.RELEASE.groupId,maven,['org.springframework.cloud'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.RELEASE.scope,maven,['import'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.RELEASE.type,maven,['pom'],0,True
account-service/pom.xml,project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-parent:Brixton.RELEASE.version,maven,['Brixton.RELEASE'],0,True
account-service/pom.xml,project.groupId,maven,['com.piggymetrics'],0,True
account-service/pom.xml,project.modelVersion,maven,['4.0.0'],0,False
account-service/pom.xml,project.name,maven,['account-service'],0,False
account-service/pom.xml,project.packaging,maven,['jar'],0,False
account-service/pom.xml,project.parent.artifactId,maven,"['piggymetrics', 'spring-boot-starter-parent']",1,False
account-service/pom.xml,project.parent.groupId,maven,"['com.piggymetrics', 'org.springframework.boot']",1,False
account-service/pom.xml,project.parent.version,maven,"['1.0-SNAPSHOT', '1.3.1.RELEASE', '1.3.2.RELEASE', '1.3.3.RELEASE', '2.0.3.RELEASE']",4,False
account-service/pom.xml,project.properties.java.version,maven,['1.8'],0,True
account-service/pom.xml,project.properties.mongodb-driver.version,maven,"['3.2.0', '3.2.2']",1,True
account-service/pom.xml,project.properties.project.build.sourceEncoding,maven,['UTF-8'],0,True
account-service/pom.xml,project.properties.spring-cloud.version,maven,['Finchley.RELEASE'],0,True
