project,technologies
surya,"['django', 'github-action', 'poetry', 'pre-commit']"
jitsi_jitsi-meet,"['android', 'devcontainer', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'npm']"
chakra-ui,"['changesets', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'renovate', 'tsconfig', 'vscode']"
babel,"['circleci', 'codecov', 'github issues', 'github-action', 'gitpod', 'npm', 'renovate', 'tsconfig', 'yarn']"
dimsemenov_PhotoSwipe,"['eslint', 'github funding', 'github-action', 'npm', 'tsconfig']"
duckdb,"['codecov', 'django', 'github issues', 'github-action', 'poetry', 'vcpkg']"
vault,"['ansible-playbook', 'buf', 'dependabot', 'docker', 'fuel', 'github', 'github issues', 'github-action', 'golangci-lint', 'npm', 'tsconfig', 'vercel', 'yarn']"
fairseq,"['github', 'github-action', 'poetry', 'pre-commit']"
html5-boilerplate,"['cspell', 'dependabot', 'github issues', 'github-action', 'npm', 'prettier', 'vscode']"
whisper.cpp,"['github-action', 'gradle', 'gradle-wrapper', 'npm']"
faas,"['docker', 'github funding', 'github-action', 'golangci-lint', 'goreleaser', 'jekyll', 'travis']"
prettier,"['codecov', 'cspell', 'dependabot', 'github issues', 'github-action', 'gitpod', 'netlify', 'npm', 'tsconfig', 'vscode', 'yarn']"
yjs,"['github-action', 'markdownlint', 'npm', 'tsconfig']"
xgboost,"['github', 'github funding', 'github-action', 'maven', 'poetry', 'readthedocs']"
trix,"['babel', 'github', 'github-action', 'npm']"
flash-attention,"['docker', 'github-action', 'poetry']"
umami-software_umami,"['docker', 'docker-compose', 'eslint', 'github issues', 'github-action', 'netlify', 'npm', 'pnpm', 'prettier', 'stylelint', 'tsconfig']"
quivr,"['github funding', 'github issues', 'github-action', 'poetry', 'pre-commit', 'readthedocs', 'tox', 'vercel', 'vscode']"
driver.js,"['github funding', 'npm', 'pnpm', 'tsconfig']"
spotube,"['android', 'dependabot', 'docker', 'flutter', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'npm', 'pnpm', 'tsconfig', 'vscode']"
gopeed,"['android', 'docker', 'docker-compose', 'flutter', 'github', 'github funding', 'github-action', 'gradle', 'gradle-wrapper', 'npm']"
cline,"['buf', 'changesets', 'dependabot', 'eslint', 'github issues', 'github-action', 'mocha', 'npm', 'prettier', 'streamlit', 'tsconfig', 'vscode']"
strapi_strapi,"['codecov', 'dependabot', 'docker-compose', 'eslint', 'fuel', 'github', 'github funding', 'github issues', 'github-action', 'lerna', 'npm', 'tsconfig', 'vercel', 'vscode', 'yarn']"
semantic-release,"['github issues', 'github-action', 'npm']"
ingress-nginx,"['chart testing', 'dependabot', 'docker', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'helm', 'kubernetes', 'lerna', 'markdownlint', 'mkdocs', 'netlify', 'nginx', 'prometheus']"
arthas,"['docker', 'github-action', 'log4j', 'maven', 'maven-wrapper', 'npm', 'prettier', 'spring', 'tsconfig', 'vscode']"
deskflow,"['cspell', 'github issues', 'github-action', 'reuse', 'vcpkg']"
ohmyzsh,"['dependabot', 'devcontainer', 'github', 'github funding', 'github issues', 'github-action', 'gitpod', 'vercel']"
rocketmq,"['github issues', 'github-action', 'maven']"
onnx,"['codecov', 'dependabot', 'github', 'github issues', 'github-action', 'poetry', 'reuse']"
editor.js,"['github funding', 'github issues', 'github-action', 'npm', 'postcss', 'tsconfig', 'vscode']"
micropython,"['dependabot', 'github funding', 'github issues', 'github-action', 'poetry', 'pre-commit']"
agenticSeek,"['docker', 'docker-compose', 'github funding', 'npm', 'poetry', 'pre-commit']"
lvgl,"['cmake', 'codecov', 'dependabot', 'devcontainer', 'github', 'github funding', 'github issues', 'github-action', 'pre-commit', 'typos']"
nuclei,"['dependabot', 'docker', 'github', 'github issues', 'github-action', 'goreleaser', 'helm', 'kubernetes']"
zoxide,"['cargo', 'cross', 'deepsource', 'dependabot', 'github-action', 'rustfmt']"
elastic_elasticsearch,"['docker', 'docker-compose', 'elasticsearch', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'lerna', 'log4j', 'npm', 'renovate', 'tsconfig']"
requests,"['dependabot', 'github funding', 'github-action', 'poetry', 'pre-commit', 'readthedocs', 'tox']"
spacedrive,"['android', 'cargo', 'clippy', 'cspell', 'docker', 'github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'rust', 'rustfmt', 'taplo', 'tsconfig', 'turborepo', 'vercel', 'vscode']"
shellcheck,"['dependabot', 'docker', 'github-action', 'snapscraft']"
ui,"['changesets', 'dependabot', 'eslint', 'github funding', 'github issues', 'github-action', 'kodiak', 'npm', 'pnpm', 'tsconfig', 'turborepo', 'vscode']"
gethomepage_homepage,"['crowdin', 'dependabot', 'devcontainer', 'docker', 'eslint', 'github funding', 'github issues', 'github-action', 'helm', 'mkdocs', 'npm', 'pnpm', 'pre-commit', 'vscode']"
fmt,"['android', 'dependabot', 'github-action', 'mkdocs']"
btop,"['github funding', 'github-action', 'renovate', 'snapscraft']"
puppeteer,"['apify', 'dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'npm', 'tsconfig', 'tsdoc', 'vscode']"
WSL,"['github issues', 'github-action', 'mkdocs', 'triagebot']"
ChromeAppHeroes,"['github funding', 'npm']"
fuels-ts,"['cargo', 'changesets', 'dependabot', 'eslint', 'fuel', 'github', 'github issues', 'github-action', 'graphql', 'knip', 'nodemon', 'npm', 'pnpm', 'tsconfig', 'tsdoc', 'turborepo', 'vercel', 'vscode']"
QuickLook,"['appveyor', 'github-action']"
casbin,"['github', 'github-action', 'golangci-lint', 'travis']"
certbot,"['codecov', 'docker', 'github funding', 'github issues', 'github-action', 'mypy', 'nginx', 'poetry', 'readthedocs', 'snapscraft', 'tox']"
rrweb,"['changesets', 'eslint', 'github config', 'github funding', 'github issues', 'github-action', 'markdownlint', 'npm', 'tsconfig', 'turborepo', 'vscode', 'yarn']"
zstd,"['cirrus', 'dependabot', 'docker', 'github-action', 'snapscraft']"
fd,"['cargo', 'cross', 'dependabot', 'github funding', 'github issues', 'github-action', 'rustfmt']"
monolog,"['dependabot', 'github funding', 'github-action', 'jekyll']"
PicGo,"['appveyor', 'github funding', 'github issues', 'github-action', 'npm', 'tsconfig', 'vscode']"
langgenius_dify,"['apify', 'dependabot', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'github issues', 'github-action', 'npm', 'pnpm', 'poetry', 'ruff', 'tsconfig', 'vscode']"
koodo-reader,"['docker', 'docker-compose', 'github issues', 'github-action', 'npm', 'tsconfig', 'vercel']"
php-src,"['circleci', 'codecov', 'github', 'github issues', 'github-action']"
gogs,"['codecov', 'deepsource', 'dependabot', 'docker', 'github issues', 'github-action', 'golangci-lint', 'travis']"
linux-command,"['docker', 'github funding', 'github-action', 'helm', 'kubernetes', 'npm', 'renovate', 'vercel']"
dragonfly,"['chart testing', 'circleci', 'dependabot', 'devcontainer', 'docker-compose', 'github issues', 'github-action', 'helm', 'kubernetes', 'poetry', 'pre-commit', 'prometheus', 'vscode']"
composio,"['changesets', 'codecov', 'docker', 'github-action', 'mypy', 'npm', 'pnpm', 'poetry', 'ruff', 'tsconfig', 'turborepo']"
