project,android,angular,ansible,ansible-playbook,apache,cargo,circleci,cypress,django,docker,docker-compose,elasticsearch,flutter,github-action,gradle,gradle-wrapper,hadoop-hbase,heroku,kafka,kubernetes,maven,maven-wrapper,mongodb,mysql,netlify,nginx,nodejs,poetry,postgresql,redis,spring,travis,tsconfig,zookeeper
hono,0,0,0,0,0,0,0,0,0,4,9,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,29,0
webtorrent,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0
airflow,0,0,0,0,0,0,0,0,74,10,19,0,0,1491,0,0,0,0,0,1,0,0,0,0,0,0,151,525,0,0,0,0,1,0
prometheus,0,0,0,0,0,0,8,0,0,10,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,27,0
telescope.nvim,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freqtrade,0,0,0,0,0,0,0,0,0,9,12,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0
config,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Rectangle,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slint,0,0,0,0,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,19,0,0,0,0,49,0
draggable,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,15,0
kong,0,0,0,0,0,11,0,0,0,8,18,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saleor,0,0,0,0,0,0,0,0,323,8,29,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,12,180,0,0,0,0,0,0
coc.nvim,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,30,0
pydantic,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0
mjml,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0
bruno,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,24,0
mkdocs-material,0,0,0,0,0,0,0,0,0,9,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,84,29,0,0,0,0,31,0
zig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dashy,0,0,0,20,0,0,0,0,0,8,12,0,0,225,0,0,0,0,0,0,0,0,0,0,12,6,79,0,0,0,0,0,25,0
outline,0,0,0,0,0,0,0,0,0,10,9,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,33,0
gitleaks,0,0,0,0,0,0,0,0,0,5,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jobs_Applier_AI_Agent_AIHawk,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gson,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0
calculator,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mlc-llm,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0
moby,0,0,0,0,0,0,0,0,0,12,0,0,0,499,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,46,0,0
docusaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,15,0,447,0,0,0,0,0,38,0
void,0,0,0,0,0,97,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4079,0,0,0,0,0,87,0
streamlit,0,0,0,0,0,0,0,0,0,3,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,50,0
filebrowser,0,0,0,0,0,0,0,0,0,8,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,1,0
BaseRecyclerViewAdapterHelper,11,0,0,0,0,0,13,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
ice,0,0,0,14,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,44,0
brew,0,0,0,0,0,0,0,0,0,7,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
webpack,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,20,0
AnotherRedisDesktopManager,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0
slidev,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,9,0,369,0,0,0,0,0,48,0
tiptap,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,32,0
Leaflet,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0
apollo-client,0,0,0,0,0,0,55,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,39,0
ArchiveBox,0,0,0,0,0,0,0,0,31,11,30,0,0,66,0,0,0,0,0,0,0,0,0,0,0,28,9,116,0,0,0,0,0,0
cursor-free-vip,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parcel,0,0,0,0,0,115,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,11,0
mermaid,0,0,0,0,0,0,0,0,0,5,18,0,0,265,0,0,0,0,0,0,0,0,0,0,3,0,225,0,0,0,0,0,27,0
osquery,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
json-server,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,3,0
bit,0,0,0,0,0,0,459,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,43,0
disruptor,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postiz-app,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,48,0
iced,0,0,0,0,0,323,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crewAI,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
chatwoot,0,0,0,0,0,0,30,0,0,7,32,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0
