project,technologies
codex,"['cargo', 'dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'rustfmt', 'toml', 'tsconfig', 'yaml']"
qinglong,"['docker', 'docker-compose', 'github config', 'github issues', 'github-action', 'json', 'nginx', 'nodemon', 'npm', 'pnpm', 'tsconfig', 'yaml']"
slim,"['appveyor', 'codecov', 'deepsource', 'dependabot', 'docker', 'github funding', 'github-action', 'gitpod', 'golangci-lint', 'goreleaser', 'json', 'kubernetes', 'markdownlint', 'mkdocs', 'pre-commit', 'renovate', 'swagger', 'toml', 'travis', 'vscode', 'yaml']"
tailscale,"['dependabot', 'docker', 'github', 'github issues', 'github-action', 'gocrazy', 'golangci-lint', 'helm', 'json', 'kubernetes', 'npm', 'tsconfig', 'yaml']"
serverless,"['github issues', 'github-action', 'npm']"
dotnet_aspnetcore,"['azure pipelines', 'babel', 'bower', 'dependabot', 'devcontainer', 'docker', 'eslint', 'github', 'github issues', 'github-action', 'gradle-wrapper', 'json', 'markdownlint', 'nodejs', 'npm', 'tsconfig', 'vscode', 'yaml']"
surya,"['django', 'github-action', 'json', 'poetry', 'pre-commit']"
jitsi_jitsi-meet,"['android', 'configparser', 'devcontainer', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'npm', 'tsconfig', 'yaml']"
chakra-ui,"['changesets', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'renovate', 'tsconfig', 'vscode']"
babel,"['circleci', 'codecov', 'github issues', 'github-action', 'gitpod', 'json', 'npm', 'renovate', 'tsconfig', 'yarn']"
dimsemenov_PhotoSwipe,"['eslint', 'github funding', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig']"
duckdb,"['codecov', 'django', 'github', 'github issues', 'github-action', 'json', 'poetry', 'toml', 'vcpkg', 'yaml']"
vault,"['ansible-playbook', 'buf', 'dependabot', 'docker', 'fuel', 'github', 'github issues', 'github-action', 'golangci-lint', 'json', 'nodejs', 'npm', 'tsconfig', 'vercel', 'yaml', 'yarn']"
fairseq,"['github', 'github-action', 'poetry', 'pre-commit', 'yaml']"
html5-boilerplate,"['cspell', 'dependabot', 'github issues', 'github-action', 'nodejs', 'npm', 'prettier', 'vscode']"
whisper.cpp,"['github-action', 'gradle', 'gradle-wrapper', 'json', 'npm', 'yaml']"
