project,cluster,num_options,num_files
recharts,-1,61,2
svelte,-1,74,5
next-auth,-1,124,6
jadx,-1,65,3
ncnn,-1,766,46
jest,-1,181,7
ruoyi-vue-pro,44,18,2
react-admin,31,9,1
fullcalendar,29,15,1
tldraw,-1,333,29
cosmopolitan,-1,31,3
nvm,51,121,7
pi-hole,-1,63,5
compiler-explorer,57,56,4
heroicons,-1,25,4
nushell,7,178,10
reflex,57,84,6
podman,-1,255,12
Babylon.js,10,13,1
doomemacs,53,5,2
anoma,-1,13,1
notepad-plus-plus,-1,74,5
OI-wiki,6,135,13
shardingsphere,-1,504,15
Ice,29,9,1
CodeEdit,14,107,10
spring-cloud-alibaba,-1,38,3
material-ui,-1,166,17
deskreen,20,46,4
supervision,12,68,5
mlflow,-1,557,34
pm2,53,15,1
jellyfin,-1,229,8
gulp,-1,34,2
unilm,35,51,7
pathway,3,150,2
svgo,-1,51,3
SwiftyJSON,54,8,1
kratos,-1,64,5
styled-components,57,26,2
go-redis,-1,80,6
envoy,-1,1377,44
dockge,22,33,4
astro,-1,287,18
NextChat,-1,113,6
monica,31,108,7
validator,-1,17,2
markitdown,11,7,1
mocha,-1,114,5
framework7,11,18,2
vue-vben-admin,-1,230,13
metasploit-framework,-1,344,18
xstate,49,22,2
kickstart.nvim,-1,11,1
pytorch_geometric,27,68,7
floating-ui,34,50,4
khoj,-1,207,9
restic,58,37,1
mobx,49,24,2
live,42,7,1
Clash-for-Windows_Chinese,-1,19,2
nacos,-1,60,5
daisyui,-1,71,4
jax,-1,268,16
frida,54,458,1
lobe-chat,-1,369,19
jekyll,57,114,7
qwik,-1,256,4
lit,18,14,1
dioxus,-1,204,5
PDFMathTranslate,26,210,4
compose,-1,184,5
Iosevka,-1,28,3
ccxt,-1,113,10
mdBook,7,64,2
consul,-1,534,26
gpt4all,43,12,2
ant-design-pro,-1,99,9
radare2,12,409,7
compose-samples,39,62,5
sherlock,-1,33,2
influxdb,45,3,1
grpc-gateway,-1,108,4
Charts,-1,45,2
containerd,-1,382,15
drizzle-orm,57,15,1
pandas-ai,-1,40,3
SwiftLint,-1,205,8
prefect,-1,78,6
flameshot,28,181,7
clash-verge-rev,7,383,7
react-router,-1,186,14
bilibili-API-collect,49,11,1
fabric,-1,46,3
mitmproxy,-1,152,3
faker,-1,136,3
Apktool,57,58,3
cherry-studio,-1,139,6
CasaOS,-1,101,8
scikit-learn,-1,288,16
continue,-1,248,18
ultralytics,-1,323,10
headlessui,-1,60,4
Xray-core,15,76,4
fonts,-1,61,5
rich,-1,58,6
matplotlib,-1,242,14
emscripten,55,53,3
fuels-rs,8,97,3
hexo,-1,74,3
libgdx,-1,127,5
upscayl,-1,47,3
spark,-1,236,42
Folo,-1,249,12
yew,-1,303,17
browser-use,40,80,5
hoppscotch,14,210,5
locust,-1,13,1
dokploy,-1,99,6
infisical,6,209,14
open-interpreter,42,20,2
tesseract,-1,117,11
druid,-1,11,1
puter,-1,20,2
marker,41,39,5
taichi,18,185,8
sniffnet,-1,119,3
rufus,-1,75,6
kestra,-1,388,16
chatgpt-on-wechat,58,27,2
zap,-1,24,1
mdx,-1,27,2
beekeeper-studio,40,201,7
storm,-1,13,2
dolt,45,13,1
fabric.js,57,155,8
surrealdb,-1,668,10
ScreenToGif,49,8,1
grpc-go,49,73,7
d2,34,43,3
ant-design-vue,33,72,7
solid,18,15,1
htmx,-1,8,1
iina,29,13,2
gum,14,55,6
3x-ui,33,33,2
crawlee,-1,102,5
hyperswitch,-1,272,13
pandoc,22,77,7
stb,-1,11,1
Qwen3,-1,20,1
postcss,-1,15,1
parse-server,21,233,5
vim,-1,127,4
esbuild,22,69,4
sharp,18,109,2
k6,28,187,10
lux,-1,71,48
prisma,-1,235,13
OpenAPI-Specification,-1,20,1
homebrew-cask,-1,265,10
core,-1,135,7
lx-music-desktop,-1,52,3
v2ray-core,15,108,5
age,20,55,3
react-testing-library,-1,36,1
text-generation-webui,-1,86,4
SmsForwarder,39,30,2
metabase,-1,2734,74
appsmith,-1,682,29
angular,48,198,12
hello-algo,18,44,13
p5.js,-1,56,5
air,-1,43,2
motion,6,7,1
ColossalAI,-1,276,17
swr,-1,16,1
plane,57,361,8
mongoose,-1,62,6
signoz,45,15,2
PaddleOCR,46,25,4
bulletproof-react,-1,22,3
hhvm,-1,255,24
zx,-1,127,7
Signal-Android,47,41,3
dash,-1,14,1
graphql-engine,-1,20,2
crawl4ai,34,14,1
echo,-1,30,2
simdjson,-1,141,33
vant-weapp,34,9,1
fastlane,33,82,9
wechaty,34,42,4
mindsdb,-1,215,8
vaultwarden,-1,144,6
jotai,27,49,6
coreutils,5,626,12
vim-airline,49,21,2
retrofit,-1,58,1
openssl,-1,576,25
ember.js,-1,187,7
searxng,-1,189,7
RevokeMsgPatcher,18,18,1
keycloak,-1,616,17
ShareX,-1,58,3
Flowise,-1,65,2
generative-models,-1,8,1
llamafile,-1,28,3
solidity,12,48,3
koreader,29,31,1
youtube-dl,-1,78,1
LazyVim,-1,20,5
netty,-1,364,11
detectron2,34,108,4
NativeScript,55,58,8
hiddify-app,5,152,5
Catch2,-1,39,7
cloc,22,38,3
julia,38,45,5
glow,14,42,6
wails,-1,168,11
langflow,-1,1127,24
fx,-1,29,3
openui,-1,110,3
DeepSeek-V3,-1,16,1
gpt-researcher,14,141,2
qlib,-1,49,4
oh-my-posh,-1,175,19
ant-design,-1,460,33
folly,-1,39,5
zod,18,31,1
compose-multiplatform,45,23,2
yup,49,9,1
slate,-1,79,4
ExplorerPatcher,-1,44,2
XX-Net,-1,36,2
Dapper,41,42,2
playwright,-1,150,11
sequelize,-1,245,9
OCRmyPDF,9,119,2
imgui,-1,46,4
bettercap,-1,39,2
serve,-1,568,17
unsloth,-1,11,1
valkey,-1,636,16
typeorm,-1,65,5
dub,22,17,2
wiki,25,110,3
lottie-ios,42,94,2
composer,-1,81,7
ruff,0,412,9
traefik,57,32,3
ml-agents,-1,73,4
AFFiNE,-1,554,9
libuv,18,107,5
cmder,-1,63,4
protobuf,-1,94,7
reveal.js,43,8,1
handsontable,3,172,13
litellm,58,240,11
OpenBB,-1,169,9
tabler-icons,29,50,4
dokku,-1,188,5
openwrt,-1,101,13
swiper,11,25,5
spring-framework,-1,188,9
tokio,-1,455,5
ente,-1,298,35
remotion,-1,109,5
WxJava,24,23,1
SDWebImage,-1,69,2
